title,year,score,scored_by,members,rank,genres,demographics
Qin Shi Mingyue: Xiao Chuangjianghu 2nd Season,2012,,,168,19977,"Comedy, Fantasy",
Xiong Chumo: Xiongxiong Leyuan 2,2018,,,164,17006,"Adventure, Comedy",Kids
Xiong Chumo: Tanxian Riji 2,2019,,,156,16997,"Adventure, Comedy",Kids
Xiong Chumo: Xiongxiong Leyuan 3,2019,,,155,17008,"Adventure, Comedy",Kids
Xiong Chumo: Quaishou Jihua,2020,,,151,16993,"Adventure, Comedy",Kids
Xiong Chumo: Xiongxiong Huanle Song,2019,,,139,17003,,Kids
Sai Er Hao Season 2: Sheng Zhe Ni Xi,2013,,,234,14942,,Kids
Sai Er Hao Season 3: Guangming De Jiushu,2014,,,152,14943,,Kids
Sai Er Hao Season 4: Zhanshen Fengyun Jue,2015,,,214,14935,,Kids
Sai Er Hao Season 5: Lie Tian Kun Shou,2015,,,187,14935,,Kids
Sai Er Hao Season 6: Cangqiong Liehuo,2016,,,201,14937,,Kids
Sai Er Hao Season 7: Yuzhou Zhi Yan,2016,,,186,14937,,Kids
Sai Er Hao Season 8: Huanmeng Zhan Ji,2017,,,195,14938,,Kids
Sai Er Hao Season 9: Pili Jiuchong Tian,2018,,,176,14941,,Kids
Sai Er Hao Season 10: Bing Feng Yaosai,2019,,,133,14931,,Kids
Mole Zhuang Yuan,2011,,,134,19104,,Kids
Mole Zhuang Yuan 2nd Season,2012,,,116,19110,,Kids
Mole Zhuang Yuan 3rd Season,2013,,,114,19114,,Kids
Xiaohu Huan Xiang,2001,,,108,16807,,Kids
Meng Li Ren,2005,,,426,18875,Drama,
Dongfang Shen Wa,2005,,,116,21268,"Adventure, Supernatural",Kids
Dongfang Shen Wa 2nd Season,2009,,,110,21269,"Adventure, Supernatural",Kids
Kewang Lantian,2006,,,109,18125,,Kids
Xiao Niu Xiang Qian Chong,2009,,,173,16697,Fantasy,Kids
Shaolin Hai Bao,2010,,,108,15149,Action,Kids
Mei Hou Wang (2010),2010,,,145,18824,"Adventure, Fantasy",Kids
Dajiao Niu Meng Gongchang,2011,,,110,21090,Fantasy,Kids
Sui Tang Heroes,2002,,,126,15713,Fantasy,
Qin Han Ying Xiong Zhuan,2011,,,124,19973,Adventure,
Xiao Jigong,2016,,,98,16674,"Adventure, Fantasy",Kids
Mianhua Tang He Yunduo Mama,2016,,,114,18930,Comedy,Kids
Gushi Nainai,2017,,,95,21878,"Adventure, Fantasy",Kids
Tropical-Rouge! Precure,2021,7.41,4891,15549,2471,Action,
Seirei Gensouki,2021,7.06,229370,446168,4298,"Action, Adventure, Fantasy, Romance",
Kyokou Suiri Season 2,2023,7.35,56335,185112,2725,"Mystery, Romance, Supernatural",Shounen
Yami Shibai 8,2021,5.83,7031,17497,11400,"Avant Garde, Horror, Supernatural",
Pui Pui Molcar,2021,8.01,11333,19363,704,Comedy,Kids
Mewkledreamy Mix!,2021,6.87,771,2903,5231,"Adventure, Fantasy",Kids
Puraore! Pride of Orange,2021,6.23,9586,29532,9113,Sports,
Selection Project,2021,7.26,17270,48500,3210,,
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,2021,6.47,125967,274000,7657,"Action, Comedy, Fantasy",
Guodong Baobei,2007,,,103,21870,Fantasy,Kids
Guodong San Jianke,2007,,,107,21871,Fantasy,Kids
Guo Bao Tegong,2010,,,175,21860,Fantasy,Kids
Guo Bao Tegong 2,2012,,,142,21859,Fantasy,Kids
Guo Bao Tegong 3,2014,,,134,21860,Fantasy,Kids
Guo Bao Tegong 4: Kai Zhi Hun,2017,,,114,21862,Fantasy,Kids
Bai Bian Ji Shou: Luo Luo Lixian Ji,2008,,,151,20282,Sci-Fi,Kids
Wu Zhan Dao,2013,,,178,16499,,Kids
Dibi Gou,2010,,,100,21193,,Kids
Chao Shou Wuzhuang: Yongzhe Wu Ju,2011,,,159,20774,Sci-Fi,
Gangtie Feilong,2012,,,148,21675,"Action, Sci-Fi",
Gangtie Feilong 3: Shanhai Shenshou Lu,2020,,,118,21679,"Action, Sci-Fi",
Gangtie Feilong 2: Ultraman Liliang,2018,,,181,21678,"Action, Sci-Fi",
Gangtie Feilong 2: Long Hun Juexing,2019,,,117,21677,"Action, Sci-Fi",
Tiejia Wei Chong Zhi Qi Ren Wang,2012,,,112,16002,"Action, Sci-Fi",Kids
Rubi Yoyo Jiaoyu Xilie: Kuaile Chengzhang,2012,,,95,14861,,Kids
Tianshang Diao Xia Ge Zhubajie,2005,,,99,15976,Fantasy,Kids
Jingling Shiji,2006,,,97,17788,"Adventure, Fantasy",
Zhu Zhu Xia: Shenhai Xiao Yingxiong,2020,,,149,17508,"Adventure, Fantasy",Kids
Hong Mao Lan Tu MTV,2005,,,108,22176,Fantasy,Kids
Tonghua Wangguo Lixian Ji,2010,,,106,16088,"Adventure, Fantasy",Kids
QiQi KeKe Lixian Ji,2006,,,105,14725,Adventure,Kids
Xi Mu Ba Long Jiazu,2012,,,103,16545,Adventure,Kids
QiQi KeKe Shuo Konglong,2009,,,108,14723,Adventure,Kids
Shen Chu Xiaofu Gui,2007,,,141,15195,Gourmet,Kids
Tu Baobao He San Jian Shenqi Baobei,2010,,,107,16150,Comedy,Kids
Zhongguo Nanhai: Hong Zhanhui,2006,,,92,17455,,Kids
Huazhi De Gushi,2006,,,87,22307,,Kids
Xinling Zhi Chuang,2009,,,91,16972,Drama,
Lei Feng De Gushi,2010,,,97,18501,,Kids
Sankaku Mado no Sotogawa wa Yoru,2021,6.75,17467,53477,5897,"Boys Love, Drama, Horror, Mystery, Supernatural",
Shen Shou Jin Gang 2: Tianshen De Shou,2013,,,124,15211,"Action, Sci-Fi",Kids
Shen Shou Jin Gang 3: Chao Bianxing Jia,2017,,,121,15211,Sci-Fi,Kids
Shen Shou Jin Gang 4: Bang Bao Lixian Ji,2018,,,121,15211,Sci-Fi,Kids
Shen Shou Jin Gang 5: Chao Neng Jing Jia,2020,,,116,15214,Sci-Fi,Kids
Jing Ma Zhanshi,2010,,,159,17769,"Action, Adventure",Kids
Konglong Baobei: Shiluo De Wenming,2015,,,113,18265,Adventure,Kids
Shaonian Shiye,2010,,,99,15164,,Kids
Shaonian Shiye: Zhihui Kuaile Xia,2011,,,198,15174,,Kids
Shaonian Shiye: Xiayi Huanle Xing,2012,,,148,15171,,Kids
Shaonian Shiye: Ren Shanxing Tianxia,2012,,,142,15169,,Kids
Shaonian Shiye: Xinyi Xiao Xiake,2013,,,154,15170,,Kids
Shaonian Shiye: Zhili Wanshitong,2013,,,153,15174,,Kids
Shaonian Shiye: Yongzhe Chuang Jiangnan,2013,,,144,15173,,Kids
Shaonian Shiye: Zhongyi Man Qiankun,2016,,,97,15176,,Kids
Shaonian Shiye: Gongji Da Yu,2017,,,132,15166,,Kids
Shaonian Shiye: Ji Yu Shengdian,2017,,,137,15166,,Kids
Shaonian Shiye: Shenmi Dadao,2018,,,140,15171,,Kids
Shaonian Shiye: Duanan Chuanqi,2018,,,136,15165,,Kids
Shaonian Shiye: Zhihui Si Lu,2019,,,136,15175,,Kids
Shaonian Shiye: Jishan Yang Ming,2019,,,135,15168,,Kids
Menghuan Zhen,2010,,,114,18900,,Kids
Dou Long Zhanshi,2011,,,216,21329,Sci-Fi,Kids
Dou Long Zhanshi 2: Xing Long Sheng Yu,2013,,,142,21330,Sci-Fi,Kids
Dou Long Zhanshi 3: Long Yin Zhi Zhan,2015,,,165,21331,Sci-Fi,Kids
Dou Long Zhanshi 4: Shuanglong He,2016,,,126,21331,Sci-Fi,Kids
Dou Long Zhanshi 5,2017,,,154,21333,Sci-Fi,Kids
Dou Long Zhanshi 6,2020,,,121,21335,Sci-Fi,Kids
Zhengyi Xiao Tu Jing,2011,,,98,17412,Comedy,Kids
Jiu Hua Xiao Heshang,2011,,,90,17825,,Kids
Doby Disy: Ai Tanxian,2011,,,99,21231,,Kids
Doby Disy: Ku Bi Xiao Zhentan,2012,,,100,21232,,Kids
Doby Disy: Hanzi Xiao Zhentan,2013,,,100,21232,,Kids
Doby Disy: Ai Changge,2015,,,98,21228,,Kids
Doby Disy: Meimeng Jingling,2018,,,95,21233,,Kids
Tian Xin Ge Ge 4th Season,2018,,,128,15959,Comedy,Kids
Tian Xin Ge Ge 5th Season,2020,,,116,15959,Comedy,Kids
Shenlong Zhengjiu Dui: Yuanqi Xing Hun,2012,,,117,15237,Sci-Fi,Kids
Pili Yongshi: Yuanqi Yongzhe,2014,,,111,19749,Sci-Fi,Kids
Yuanqi Zhengjiu Dui,2016,,,149,17281,Sci-Fi,Kids
Wu Long Xiao Zi,2012,,,98,16489,Fantasy,Kids
Wu Long Xiao Zi: Yong Chuang Le Huo Dao,2013,,,97,16492,Fantasy,Kids
Mu Ling Baobei,2012,,,97,19169,Fantasy,Kids
Mu Qi Ling: Lu Ying Zhan Ling,2014,,,100,19174,Fantasy,Kids
Mu Qi Ling 2: Sheng Tian Ling Zhong,2016,,,100,19172,Fantasy,Kids
Mu Qi Ling 3: Qi Ling Zhi Xin,2018,,,97,19173,Fantasy,Kids
UP Miao Zhiwu Kepu,2014,,,95,16267,,Kids
UP Miao Zhiwu Kepu 2nd Season,2016,,,99,16268,Fantasy,Kids
Shui Man Jinshan,2012,,,98,15452,Fantasy,Kids
Zhihui Zidan Che,2012,,,95,17431,,Kids
Shenqi A You,2013,,,97,15246,,Kids
Shenqi A You: Zui Qiang Liuxing Ren,2016,,,94,15247,,Kids
Xiao Ji Bu Hao Re,2008,,,104,16673,,Kids
Xiao Ji Bu Hao Re: Xian Dan Si,2012,,,92,16669,,Kids
Hua Jingling: Xiha Da Maoxian,2014,,,92,22256,Fantasy,Kids
Mo Dan Wang,2013,,,94,19051,,Kids
Shen Ji Bao Meili,2014,,,217,15201,,Kids
Shen Ji Bao Meili 2,2014,,,116,15211,,Kids
AK Mofa Shaonu,2015,,,273,20076,,Kids
Yu Qi Lin: Xian Ling Qi Yu,2011,,,181,17263,,Kids
Zhandou Ba Ling Shou,2016,,,107,17375,,Kids
Gang Jia Xiaolong Xia,2016,,,103,21671,Sci-Fi,Kids
Shouwang Zhengfeng,2016,,,155,15432,Sci-Fi,Kids
Shouwang Zhengfeng: Yuanshi Zhi Li,2017,,,101,15434,Sci-Fi,Kids
Xiao Po Hai,2002,,,101,16701,Comedy,Kids
Xiao Po Hai: You Neihan,2016,,,93,16703,Comedy,Kids
Chainsaw Man,2022,8.43,1100536,1902653,194,"Action, Fantasy",Shounen
Koroshi Ai,2022,6.9,71063,194102,5060,"Action, Romance",Josei
Isekai Meikyuu de Harem wo,2022,6.53,131395,293116,,"Action, Adventure, Fantasy, Erotica",
Rail Romanesque 2,2023,5.56,963,7600,12636,Slice of Life,
Hou Wang Chuan,2010,,,129,22232,"Adventure, Fantasy",Kids
Lizi Gou He Xiangjiao Hu,1999,,,101,18582,Fantasy,Kids
Milu Chuanqi,2013,,,100,18968,"Adventure, Fantasy",Kids
PP Le Fantian,2008,,,111,19860,"Comedy, Fantasy",Kids
Mimi Jihua,2002,,,94,18970,"Comedy, Fantasy",
Shen Bing Xiaojiang,2007,,,131,15192,"Adventure, Fantasy",Kids
Shen Bing Xiaojiang 2,2018,,,105,15194,"Adventure, Fantasy",Kids
Xiao Shu He Da Xiang De Chuangyi TV,2013,,,89,16719,Fantasy,Kids
Taoqi Bao Ma Xiao Tiao,2008,,,96,15872,Comedy,Kids
Kintamani Dog,2021,,,398,18175,Slice of Life,
Lu Shu Lin De Gushi,2008,,,87,18618,Fantasy,Kids
Hei Lian Da Baogong,2009,,,83,22033,,Kids
Hei Lian Da Baogong Zhi Wu Hui Qingtian,2010,,,82,22034,,Kids
Hei Lian Da Baogong: Zhong Gan Yi Dan,2011,,,81,22038,,Kids
Hei Lian Da Baogong: Chidanzhongxin,2011,,,79,22035,,Kids
Xiao Yingtao,2008,,,94,16772,,Kids
Xiao Yingtao 2nd Season,2008,,,93,16772,,Kids
Xiao Yingtao 3rd Season,2009,,,92,16773,,Kids
Xiao Yingtao: Youmo Baodian,2010,,,94,16776,,Kids
Xiao Yingtao: Wu Gang Chuanqi,2011,,,93,16775,,Kids
Zhihui Zhi Cheng,2008,,,98,17430,Adventure,Kids
Fan Dou Tianting,2001,,,103,21482,"Adventure, Fantasy",
Fan Dou Tianting II,2006,,,100,21483,"Adventure, Fantasy",
Chao Wa Zhanshi: Xingji Jiayuan,2011,,,132,20778,"Action, Sci-Fi",
Hao Hao Wenzi Guo,2009,,,100,21980,"Adventure, Fantasy",Kids
Huanle Baobao,2011,,,85,22288,Fantasy,Kids
Maomao Wang Lixian Ji,2011,,,92,18759,"Adventure, Fantasy",Kids
Xiao Xiao Da Yingxiong Maomao Wang,,,,86,16743,Fantasy,Kids
Maomao Wang Xingqiu Xunbao,2011,,,91,18767,"Adventure, Fantasy",Kids
Maomao Wang: Kongjian Chao Nengli,2012,,,93,18761,"Adventure, Fantasy",Kids
Xiyou Xin Chuan: Qingshaonian Ziwo Fanghu,2010,,,95,17051,"Adventure, Fantasy",Kids
Xiyou Chaoji Fen,2015,,,92,17045,"Adventure, Fantasy",Kids
Tu Xia Chuanqi Xuewu Pian,2014,,,121,16155,"Action, Adventure, Fantasy",Kids
Xiao Tu Xia: Kung Fu Xuexiao,2013,,,94,16737,"Comedy, Fantasy",Kids
Xiao Tu Xia: Kung Fu Xuexiao 2nd Season,2014,,,92,16738,"Comedy, Fantasy",Kids
Roco Wangguo Da Maoxian,2013,,,95,14840,"Adventure, Fantasy",Kids
Roco Wangguo Da Maoxian 2: En Zuo Riji,2014,,,94,14839,"Adventure, Fantasy",Kids
Luoke Wangguo Da Maoxian 3: Bada Huizhang,2015,,,91,18637,"Adventure, Fantasy",Kids
Roco Wangguo Wudao Hui,2012,,,91,14843,"Adventure, Fantasy",Kids
Roco Wangguo Da Maoxian: Ya Ya Yue Da Xian Shenwei,2015,,,92,14840,"Adventure, Fantasy",Kids
Chuang Chuang Chuang! Wo Shi Chuang Tang Tu!,2015,,,100,20916,"Adventure, Fantasy",Kids
Chuang Tang Jiazu,2015,,,98,20916,"Adventure, Fantasy",Kids
Duo Bao Xingyun Xing,2005,,,97,21395,Fantasy,Kids
Duo Bao Xingyun Xing 2,2009,,,90,21396,Fantasy,Kids
Duo Bao Xingyun Xing 3,2013,,,89,21395,Fantasy,Kids
Duo Bao Xingyun Xing 4,2015,,,94,21397,Fantasy,Kids
Yunduo Baobei,2012,,,85,17319,Fantasy,Kids
Iii Icecrin,2021,5.94,153,628,10765,,Kids
Kunta: Yin Wei Suoyi,2015,,,88,18408,Fantasy,Kids
Q Ban Sanguo,2003,,,96,19889,"Comedy, Fantasy",Kids
Q Ban Sanguo: San Xiaoqiang,2012,,,92,19891,"Comedy, Fantasy",Kids
Mohuan Xian Zong,2008,,,121,19099,"Adventure, Fantasy",Kids
Modeng Senlin: Shengming Zhi Shui,2014,,,95,19079,Adventure,Kids
Modeng Senlin: Dadi Zhi Ge,2014,,,92,19078,Adventure,Kids
Modeng Senlin: Conglin De Huxi,2013,,,93,19076,Adventure,Kids
Zhonghua Xun Lixian Ji,2014,,,106,17469,"Adventure, Fantasy",Kids
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,2021,6.79,87336,185161,5672,"Action, Adventure, Drama, Fantasy",Shounen
Fengle! Gui Bao,2018,,,105,21551,"Comedy, Sci-Fi",Kids
Guo Guo Qi Xia Chuan,2014,,,101,21866,"Adventure, Fantasy, Sci-Fi",Kids
San Zhi Xiao Zhu: Mofa Da Maoxian,2016,,,93,15000,"Adventure, Fantasy",Kids
Jujinghuishen Bang,2015,,,95,17877,"Adventure, Fantasy",Kids
Xinnian Lai La: Yimingjingren,2014,,,86,16979,Fantasy,Kids
Xinnian Lai La: Shenmi Baozang,2015,,,86,16981,Fantasy,Kids
Xinnian Lai La: Wenzi Da Jienan,2015,,,85,16979,Fantasy,Kids
Xinnian Lai La: Yong Chuang Mo Shan,2016,,,85,16981,Fantasy,Kids
Xinnian Lai La: Shenqi Wugong,2017,,,84,16978,Fantasy,Kids
Xinnian Lai La: Baicao Jie Yao,2017,,,84,16973,Fantasy,Kids
Xinnian Lai La: Ju Men Zaixian,,,,94,16976,"Adventure, Fantasy",Kids
Xinnian Lai La: Ku Duo La,2018,,,91,16975,"Adventure, Fantasy",Kids
Changjiang 7 Hao: Qi Zi Ai Diqiu,2015,,,119,20746,Fantasy,Kids
Xiao Zhu Banna,2012,,,93,16787,Fantasy,Kids
Xiao Zhu Banna 2,2013,,,89,16787,Fantasy,Kids
Xiao Zhu Banna 3,2015,,,90,16790,Fantasy,Kids
World Trigger 3rd Season,2021,8.24,54210,138497,374,"Action, Sci-Fi",Shounen
Shuiguo Baobei,2011,,,97,15457,Fantasy,Kids
Platinum End,2021,6.02,147898,415660,10380,"Drama, Supernatural, Suspense",Shounen
Xingji Xiao Mayi: Huanqiu Zhui Meng,2015,,,95,16955,"Adventure, Fantasy",Kids
Xingji Xiao Mayi: Wuhang Guilai,2019,,,95,16957,"Adventure, Fantasy",Kids
Xingji Xiao Mayi: Gongyi Pian,2018,,,95,16954,Fantasy,Kids
Jixiang Baobao,2015,,,89,17833,"Comedy, Fantasy",Kids
Jixiang Baobao 2nd Season,,,,95,17835,"Comedy, Fantasy",Kids
Jixiang Baobao 3rd Season,,,,95,17836,"Comedy, Fantasy",Kids
Jixiang Baobao 4th Season,,,,95,17836,"Comedy, Fantasy",Kids
Keke Xiao Ai,2012,,,86,18094,,Kids
Dan Jihua,2013,,,90,21101,,Kids
Dan Jihua: Shi Dan Shou Jiazu,2017,,,91,21109,"Adventure, Fantasy",Kids
Dan Jihua Zhi Huanle Xingqiu,2018,,,90,21103,Fantasy,Kids
Dan Jihua: Long Shou Xingqiu,2018,,,90,21106,Fantasy,Kids
Luobo Tu Ai Faxian,,,,93,18636,"Adventure, Fantasy",
Dan Jihua: Shehui Jiaowang Ertong Xilie Gushi,2019,,,93,21109,Fantasy,Kids
Dan Jihua: Anquan Ertong Xilie Gushi,2019,,,90,21104,Fantasy,Kids
Dan Jihua: Luoji Siwei Ertong Xilie Gushi,2019,,,91,21108,Fantasy,Kids
Dan Jihua: Tansuo Faxian Ertong Xilie Gushi,2019,,,90,21111,Fantasy,Kids
Dan Jihua: Ertong Xilie Gushi,2019,,,91,21104,Fantasy,Kids
Meishi Da Maoxian,2014,,,109,18842,"Adventure, Fantasy",Kids
Meishi Da Maoxian: Huore Zhi Lu,2015,,,100,18843,"Adventure, Fantasy",Kids
Meishi Da Maoxian: Wenming Zhi Lu,2017,,,99,18844,"Adventure, Fantasy",Kids
Taishou Otome Otogibanashi,2021,7.79,71637,169470,1132,"Comedy, Drama, Romance",Shounen
Qise Zhanji,2009,,,147,14725,"Adventure, Fantasy",Kids
Shuke Beita,2019,,,120,15486,,Kids
Wo de Pengyou Zhu Dike,2014,,,97,16417,"Comedy, Fantasy",Kids
Zhu Dike: Guguai Dao Da Maoxian I,2016,,,96,17483,"Adventure, Fantasy",Kids
Zhu Dike: Guguai Dao Da Maoxian II,2017,,,98,17484,"Adventure, Fantasy",Kids
Zhu Dike: Mengxiang Xunlian Ying,2018,,,94,17485,Fantasy,Kids
Zhu Dike: Caihong Jiejie Jiang Gushi,2016,,,94,17481,Fantasy,Kids
Kong Tian Zhandui,2017,,,97,18254,"Action, Adventure, Sci-Fi",
Shenhai Tegong Dui,2016,,,103,15232,"Adventure, Sci-Fi",Kids
Zui Ke Ai De Ren,2016,,,110,17545,,
Jingling Meng Ye Luoli,2013,,,135,17784,Fantasy,
Meng wa,2017,,,94,18873,,Kids
Zhonghua Deyu Gushi,2008,,,80,17460,,Kids
Zhonghua Meide Gushi: Chengxin Pian,,,,85,17466,,Kids
Keke Ke Xin Yijia Ren,2003,,,89,18093,Comedy,Kids
Keke Ke Xin Yijia Ren 2,2006,,,88,18093,Comedy,Kids
Xiao Maguo He,,,,92,16688,"Adventure, Fantasy",Kids
Long Dou Taiqiu,2011,,,89,18586,,Kids
Fu Wu Shu: Sanshiliu Ji,2008,,,105,21580,"Adventure, Fantasy",Kids
Fu Wu Shu: Sunzi Bingfa,2009,,,104,21581,"Adventure, Fantasy",Kids
Fu Wu Shu: Zhanguo Fengyun,2012,,,99,21581,"Adventure, Fantasy",Kids
Xiao Qingtian Situ Gong,2007,,,79,16705,,Kids
Xiayi Xiao Qingtian,2010,,,163,16838,Adventure,Kids
Yin Cha Zhi Kung Fu Xue Yuan,2007,,,82,17167,,Kids
Lao Dai He Xiao Dai,2007,,,85,18466,,Kids
Xiaoxiong You En,2017,,,85,16837,Fantasy,Kids
Bun Bun,2011,,,107,20630,Fantasy,Kids
Chong Chong Nao Fantian,2011,,,98,20890,"Adventure, Fantasy",Kids
Er Tu Da Mengxiang,2014,,,90,21464,Fantasy,Kids
Mo He Yu Gesheng,2007,,,97,19052,"Adventure, Fantasy",Kids
Caslon: Xun Long Ji,2013,,,101,20715,"Adventure, Fantasy",Kids
Mengxiang Jing Su,2011,,,109,18899,,
Xinghai Qi Hang,2011,,,91,16946,"Adventure, Fantasy, Sci-Fi",Kids
Liang Jia Funu,2009,,,93,18534,Comedy,Kids
Tuolaji Siji,2015,,,87,16192,"Adventure, Comedy",
Chao Bian Wu Shou,2017,,,121,20748,"Action, Sci-Fi",Kids
Okashina Sabaku no Suna to Manu,2021,5.66,243,2002,12262,Comedy,
Shenlan Shaonian,2016,,,93,15236,"Adventure, Fantasy",Kids
Hacker Ju Ji Shou,2005,,,97,21897,"Adventure, Sci-Fi",
Tuzi Bang,,,,84,16202,,Kids
Tuzi Bang 2nd Season,,,,84,16204,,Kids
Tuzi Bang: Jixie Shi Lianmeng,,,,87,16206,"Adventure, Fantasy",
Sheng Guang Bu Hao Re,2016,,,94,15220,"Adventure, Comedy, Fantasy",
Kuaile Dudu,2007,,,83,18339,,Kids
Piao Chong Bei Bei: Wu Long Mofa,2010,,,90,19735,Fantasy,Kids
Piao Chong Bei Bei: Shenmi Gongchang,,,,94,19734,Fantasy,Kids
Piao Chong Bei Bei: Zhengjiu Gu Shu Zhen,,,,92,19737,Fantasy,Kids
Xiaoxiong Ni Ao: Mengjing Xiao Zhen,2016,,,85,16831,Fantasy,Kids
Xiaoxiong Ni Ao: Huanqiu Luxing,2018,,,86,16830,Fantasy,Kids
Chongchong Yu Long Long,2012,,,80,20896,,Kids
Hai Baolaile,2010,,,80,21921,,Kids
Hai Baolaile 2nd Season,2011,,,79,21922,,Kids
Hai Baolaile 3rd Season,,,,88,21922,,Kids
Tan Tan Mao: Qihuan Maxi Tuan,,,,89,15833,Fantasy,Kids
Tan Tan Mao: Qihuan Maxi Tuan 2,,,,87,15834,Fantasy,Kids
Tan Tan Mao: Qimiao Shijie,2019,,,83,15835,Fantasy,Kids
Tan Tan Mao: Qimiao Shijie 2nd Season,2020,,,87,15838,"Adventure, Fantasy",
Yin Mi,2008,,,81,17169,,
Haha Xiyou Xing,2005,,,85,21917,"Adventure, Fantasy",Kids
Fuxing Ba Jie,2011,,,270,21625,"Adventure, Fantasy",Kids
Kuaile Xing Mao,2008,,,154,18361,"Adventure, Comedy, Fantasy, Sci-Fi",Kids
Xing Mao Lixian Ji: Xingkong Da Maoxian,,,,93,16915,,Kids
Xing Mao Lixian Ji: Gucheng Da Maoxian,,,,92,16909,,Kids
Xing Mao: Da Xiao Xiyou,,,,94,16924,,Kids
Xing Mao Lixian Ji: Diqiu Da Maoxian,,,,94,16907,,Kids
Xing Mao Lixian Ji: Meishi Pian,,,,93,16912,,Kids
Kung Fu Xing Mao,2009,,,104,18404,Action,Kids
Kuaile Xing Mao Zhi: Mingsheng Pian,2018,,,127,18367,"Adventure, Fantasy",Kids
Kuaile Xing Mao: Mingsheng Pian 2nd Season,,,,94,18363,,Kids
Xing Mao: Xiyu Mi Zong,,,,94,16926,,Kids
Xing Mao Zhentan,,,,98,16930,,Kids
Xing Mao Lixian Ji: Guohua Pian,2008,,,89,16911,,Kids
Xing Mao Lixian Ji: Shufa Pian,,,,84,16914,,Kids
Xing Mao: Sunzi Bingfa Pian,,,,92,16926,,Kids
Wanpi de Xiao Xing Mao,2010,,,90,16358,,Kids
Xiao Xing Mao: Mohuan Yuezhang,,,,90,16759,,Kids
Xing Mao Lixian Ji: Shenhua Pian,2009,,,92,16912,,Kids
Taoqi Xing Mao,2007,,,94,15868,,Kids
Xiao Xing Mao He Shanshan,,,,93,16758,,Kids
Xing Mao Man Youji,2009,,,151,16916,Fantasy,Kids
Xing Mao Man Youji: San Jincun,,,,96,16916,"Adventure, Fantasy",
Kuaile Xing Mao: Tangshi Pian,,,,92,18365,,Kids
Xiao Xing Mao: Mohuan Yuezhang 2nd Season,,,,92,16760,,Kids
Taoqi Xing Mao 2nd Season,,,,97,15870,,Kids
Xing Mao Xunbao Ji,2009,,,92,16928,,Kids
Xing Mao Xunbao Ji 2nd Season,,,,93,16922,,Kids
Zhengjiu Zhu Luo Ji,,,,97,17411,,Kids
Xing Mao de Mimi Jidi,2009,,,147,16906,,Kids
Xing Da Qiu Kuai Yue Xue Yuan,2010,,,91,16900,,Kids
Xiaoshi de Wenming,2007,,,128,16829,,Kids
Wu Ren Dao Da Maoxian,2006,,,116,16494,"Adventure, Fantasy",Kids
Jixiang Mao Keke,2009,,,196,17840,Fantasy,Kids
Xing Mao Da Jiangtang,2006,,,105,16904,Fantasy,Kids
Xing Da Xing Donghua Xilie: Taikong Chuan,2015,,,123,16902,"Adventure, Sci-Fi",Kids
Kuaile Xing Mao: Shuihu Zhuan,2010,,,121,18364,Fantasy,Kids
Xing Mao Katong Tiandi,,,,91,16905,,Kids
Xing Mao Katong Tiandi 2nd Season,,,,93,16907,,Kids
Xing Mao Wenhua Da Jiangtang: Minjian Chuanqi,,,,92,16919,,Kids
Xing Mao Wenhua Da Jiangtang: Mingzhu Gushi,,,,90,16917,,Kids
Dai Jia Jia,,,,83,21081,,Kids
Chan Yi,2012,,,93,20741,,Kids
Menghuan Maomi Wu,2015,,,95,18880,Fantasy,Kids
Lao Kai de Qihuan Tanxian Zhi Lu,2014,,,96,18470,"Adventure, Fantasy",Kids
Xi Hang Zongdongyuan: Loulan Chuanqi,2014,,,92,16536,Fantasy,Kids
Guai Guai Pinyin Lixian Ji,2015,,,90,21815,Adventure,Kids
Guai Guai Pinyin Lixian Ji 2nd Season,2016,,,91,21815,Adventure,Kids
Kuaidi Xia Waizhuan,2015,,,88,18323,Comedy,
Menghuan Bu Bu Xing,2014,,,88,18879,,Kids
Happy Fuzi,2000,,,185,21987,"Comedy, Fantasy",Kids
Happy Fuzi: Chao Neng Pao Dan,2010,,,97,21986,"Comedy, Fantasy",Kids
Happy Fuzi: Yu Shui Jingang,2009,,,96,21987,"Comedy, Fantasy",Kids
Muzhi Xiong Kangji,2006,,,97,19212,Fantasy,Kids
Heper Yijia,2013,,,97,22096,"Adventure, Fantasy, Sci-Fi",
Kuaile Dongxi,2003,,,91,18335,Comedy,
Kuaile Dongxi 2,2006,,,91,18336,Comedy,
Kuaile Dongxi 3,2009,,,89,18337,Comedy,
Kuaile Dongxi 4,2010,,,90,18337,Comedy,
Kuaile Xiao Dongxi,2010,,,90,18356,Comedy,
Dongxi Chaguan,2008,,,91,21282,Comedy,
Kuai Yue Jia Nianhua,2012,,,87,18321,Comedy,
Kuaile Xiang Qian Chong,2015,,,89,18355,Comedy,
Kuaile Dongxi 7,2018,,,86,18340,Comedy,
Feng Hua Xianzi Waizhuan,2010,,,92,21526,"Comedy, Fantasy",
Yuncai Mianbao,2012,,,106,17315,Fantasy,Kids
Yuncai Mianbao 2,2015,,,100,17317,Fantasy,Kids
Mumu Buluo,2012,,,94,19195,Fantasy,Kids
Mumu Buluo 2nd Season,2014,,,97,19194,Fantasy,Kids
